method,city,cluster,listing_id,price,latitude,longitude,accommodates,minimum_nights,maximum_nights,number_of_reviews,availability_365,reviews_total,reviews_last_365d,calendar_avg_price,calendar_median_price,calendar_availability_rate,calendar_days_sampled,log_price,price_per_person,amenities_count,review_density,reviews_per_month,demand_score,listing_count,neighbourhood
gmm,nashville,0,1.1617747618161316e+18,202.31499556344278,36.16497734780557,-86.75658347617396,6.490683229813665,13.114463176574978,400.14551907719607,0.7941437444543035,327.452528837622,0.7941437444543035,0.5652173913043478,198.66992014196984,198.66992014196984,0.8971304347826087,365.0,5.055117216622705,37.755415746631364,39.25288376220053,0.002475323071819006,0.0471014492753623,0.03112877653435695,1127,
gmm,nashville,1,4.4174530117694234e+17,241.68672456575683,36.16419467014587,-86.77628558654678,8.646401985111662,2.5806451612903225,499.4925558312655,94.81451612903226,338.09925558312653,94.81451612903226,23.36848635235732,237.83064516129033,237.83064516129033,0.9262968982630272,365.0,5.318597237454347,30.578027358463153,50.41439205955335,0.281680659156744,1.9473738626964432,0.03860974414818443,1612,
gmm,nashville,2,6.111685662911177e+17,163.879235447437,36.1633885116419,-86.76554026103378,5.989574283231972,5.91485664639444,434.7793223284101,58.76107732406603,89.79235447437011,58.76107732406603,19.48566463944396,160.72458731537793,160.72458731537793,0.25054126846220676,365.0,4.984482556465465,32.66666944046396,45.51172893136403,1.5159442065810675,1.6238053866203301,0.2381790920381532,1151,
gmm,nashville,3,7.302566688029907e+16,146.67148014440434,36.1621443060759,-86.76572198045419,4.778580024067389,2.0445246690734056,522.1780986762936,393.0060168471721,170.92298435619736,393.0060168471721,50.517448856799035,144.96028880866427,144.96028880866427,0.47219915764139586,365.0,4.902947933045159,36.23126372891716,45.8820697954272,6.785733186743817,4.2097874047332535,0.2116445708552961,831,
gmm,nashville,4,2.1810011754895597e+17,194.30344827586208,36.162676950901194,-86.77349818117048,7.0183908045977015,2.4804597701149427,422.8735632183908,190.41149425287355,270.5091954022989,190.41149425287355,35.16551724137931,191.80689655172415,191.80689655172415,0.7411213793103449,365.0,5.142976780509132,32.05733934169279,49.02413793103448,0.696995107840847,2.9304597701149424,0.10667109853424077,870,
gmm,nashville,5,9.992150634804719e+17,167.43115438108484,36.16735848891211,-86.77447714287406,7.389429763560501,4.561196105702364,458.44089012517384,16.818497913769125,341.8233657858136,16.818497913769125,10.801808066759389,162.673157162726,162.673157162726,0.9365018080667593,365.0,5.0554439181622,28.1443951370064,44.543810848400554,0.0494011162498565,0.900150672229949,0.024311689857403476,1438,
gmm,nashville,6,9.215814791970774e+17,159.1517595307918,36.17152602715868,-86.7515480381954,5.357038123167156,13.611436950146627,404.8731671554252,3.842375366568915,137.27712609970675,3.842375366568915,1.9831378299120235,158.46847507331378,158.46847507331378,0.3762052052785924,365.0007331378299,4.90687995622407,38.20826078145543,38.78152492668622,0.08501617208484379,0.16526148582600195,0.1882016852430544,1364,
gmm,nashville,7,8.251328777269143e+17,217.1958549222798,36.16433084944018,-86.77386716190561,7.9067357512953365,4.043523316062176,404.0652849740933,42.660103626943005,270.66424870466324,42.660103626943005,21.756476683937823,213.8238341968912,213.8238341968912,0.7415456994818652,365.0,5.21365323463133,31.423335619475516,48.72124352331606,0.1585181034612814,1.8130397236614852,0.08890455610918259,965,
kmeans,neworleans,0,6.663795918983045e+17,336.90230810520666,29.956680230914117,-90.07053282422807,7.7203435319377345,13.122383252818036,419.89157273215244,47.11862587224906,278.93075684380034,47.11862587224906,12.303811057434245,336.3118625872249,336.3118625872249,0.7641947396672034,365.0,5.673708931972285,51.55841212375029,49.60010735373054,0.22014356706066682,1.0253175881195205,0.08957997472843435,1863,
kmeans,neworleans,1,4.9306700845016024e+16,125.75991189427313,29.955531066883733,-90.07615371370025,3.952643171806167,10.588105726872246,463.4515418502203,278.4757709251101,191.62995594713655,278.4757709251101,32.470264317180614,124.51762114537445,124.51762114537445,0.5250137665198238,365.0,4.726656492976639,37.22398717747011,45.27863436123348,2.311920744258774,2.705855359765051,0.21732640933308603,908,
