listing_id,reviews_total,reviews_last_365d
903906,2,0
904060,49,0
916105,6,0
918049,62,0
918239,117,0
919491,174,0
919830,271,0
920930,29,0
921500,2,1
924600,199,13
927408,67,2
929032,21,0
932277,35,0
936218,40,3
938022,141,8
939657,94,4
940116,57,2
944049,68,0
944840,16,0
945297,714,5
949159,4,0
951365,140,0
951439,9,0
951935,1,0
953314,148,0
958444,112,3
959349,5,0
973128,47,0
973535,203,4
975250,43,1
975990,13,0
978386,315,2
982038,18,2
982276,67,2
982409,1,0
983625,210,2
986727,416,0
987616,11,0
990367,28,0
990529,3,0
992891,17,0
993514,16,3
993575,28,1
993576,30,5
995187,117,0
1001147,103,0
1009883,76,0
1010785,82,2
1013648,8,0
1016004,176,0
1016105,10,0
1023529,210,1
1024647,4,1
1025786,13,0
1026683,78,26
1027808,57,2
1030254,87,3
1035120,59,2
1036498,90,3
1038802,8,1
1039984,64,3
1040156,179,2
1040182,104,2
1042806,450,37
1043046,72,0
1043493,38,0
1044731,63,0
1045897,226,2
1049224,33,0
1056445,95,0
1057022,19,1
1060019,186,0
1063020,248,1
1069287,14,0
1076324,10,0
1080543,106,1
1080839,35,0
1083888,19,0
1084328,6,0
1087215,60,2
1093977,23,0
1098863,150,0
1100421,51,1
1101035,264,2
1101224,50,2
1102942,70,0
1108309,74,0
1115381,1,0
1117706,28,7
1118031,60,0
1123737,31,0
1123960,15,0
1126492,18,0
1126944,3,0
1127770,28,18
1131804,30,4
1137093,45,0
1137270,12,0
1138727,70,1
1146653,22,0
1150382,60,0
1150514,1,0
1157522,151,4
1167658,129,3
1170887,15,0
1182186,25,0
1183005,1,0
1187643,126,3
1195260,142,0
1197899,13,0
1198874,40,0
1205103,267,3
1209921,138,2
1213745,4,0
1215122,2,0
1215627,230,0
1215836,1,0
1220548,43,0
1221332,40,0
1221962,17,0
1239293,8,0
1240586,3,0
1245479,163,0
1245977,12,0
1251681,26,0
1255828,325,7
1256670,2,0
1258651,197,26
1260727,6,0
1263964,291,1
1267186,4,0
1268154,209,2
1271103,1,0
1273533,1,0
1276760,10,0
1277955,1,0
1278784,197,5
1279234,6,1
1281023,15,0
1284776,48,0
1284789,4,0
1291245,2,0
1294973,255,39
1300216,253,2
1300950,121,0
1301321,16,0
1304459,213,0
1305346,15,0
1306966,2,0
1307228,5,0
1307723,38,0
1312228,3,0
1313711,360,29
1322432,10,0
1325432,66,0
1326566,31,2
1330056,174,0
1332473,11,0
1334633,5,0
